domain,name,similarity,employees,city,state,country,primary_industry,description
yourforeverfierce.com,Forever Fierce,100.0,11-50,Highland Mills,NY,US,BUSINESS_PRODUCTS_AND_SERVICES,"Forever Fierce is a service that specializes in custom gym apparel and screen printing. They collaborate with gym owners to create unique designs that reflect their brand and community, ensuring a coh"
uniteegraphics.com,UNITEE,89.0,11-50,Lafayette,LA,US,BUSINESS_PRODUCTS_AND_SERVICES,"UNITEE is a custom apparel service that specializes in fast- turnaround times for various organizations, including gyms, dance schools, healthcare facilities, and bars. The main functionality includes"
wodmerch.com,UNITEE,89.0,11-50,Lafayette,LA,US,E-COMMERCE,"UNITEE is a service that helps gyms and studios create custom fitness merchandise. It simplifies the process of designing, printing, and managing apparel for health-focused communities by streamlining"
boldbrandsapparel.com,Bold Brands,88.0,11-50,Fruitport,MI,US,E-COMMERCE,"Bold Brands is a custom apparel service that specializes in print-on-demand (POD) products. The process involves three simple steps: sending artwork, Approving mockups, and producing the final product"
hdprintdesign.com,HD PRINT DESIGN,88.0,11-50,Northridge,CA,US,BUSINESS_PRODUCTS_AND_SERVICES,"HD Print Design is a company that specializes in custom apparel and screen printing. They offer services such as designing, producing, and shipping clothing for various industries including sports, ed"
wovenapps.com,INK Design & Apparel,88.0,11-50,Iron Mountain,MI,US,BUSINESS_PRODUCTS_AND_SERVICES,"Ink Design & Apparel is a company that specializes in custom apparel design, promotional items, and various printing services. They offer a range of products including screen prints, embroidery, vinyl"
graphicfx.com,Graphic FX,88.0,11-50,Terre Haute,IN,US,BUSINESS_PRODUCTS_AND_SERVICES,"Graphic FX is a company that specializes in custom screen printing and promotional products for various industries, including race directors, trade unions, fitness gyms, and educational institutions. "
apparelandgraphics.com,Apparel and Graphics,88.0,11-50,Flora,IN,US,BUSINESS_PRODUCTS_AND_SERVICES,"Apparel and Graphics is a company that provides custom branding solutions for businesses, offering a wide range of products including apparel, signage, promotional items, and business cards. Their mai"
selectprintingusa.com,Select Printing,88.0,11-50,Boise,ID,US,BUSINESS_PRODUCTS_AND_SERVICES,"Select Printing is a company that specializes in custom apparel decoration, including shirts and sweatshirts. They provide tailored solutions for various clients such as team leaders, event managers, "
humblymade.com,Humbly Made,88.0,11-50,Raleigh,NC,US,BUSINESS_PRODUCTS_AND_SERVICES,"Humbly Made is a custom screen printing and embroidery service based in North Carolina that specializes in high-quality apparel for small businesses, breweries, restaurants, and restaurants. The compa"
strikermarketing.net,Striker Marketing,88.0,11-50,Dahlonega,GA,US,BUSINESS_PRODUCTS_AND_SERVICES,"Striker Marketing is a custom merchandise and promotional goods service that specializes in creating tailored apparel for businesses, athletics, events, and other purposes. Their main functionality in"
customsportsandapparel.com,Custom Sports and Apparel,88.0,11-50,Orion Township,MI,US,BUSINESS_PRODUCTS_AND_SERVICES,"Print CSA is a service that specializes in custom sports and apparel, offering high-quality DTF (Direct to Film) printing for companies, schools, teams, and events. Users can upload their artwork or d"
wolfcustoms.net,Wolf Customs,88.0,11-50,Parkersburg,WV,US,E-COMMERCE,"Wolf Customs is a custom embroidery and printing service that specializes in creating high-quality clothing, including corporate uniforms and gifts. They offer a collaborative design process where cli"
factory1direct.com,Factory 1 Direct,88.0,11-50,Culver City,CA,US,E-COMMERCE,"Factory 1 is a platform that allows users to design and order custom T-shirts online, including a variety of apparel items like hoodies, sweatshirts, and tie dye. Users can upload their designs, selec"
designsunlimitedapparel.com,Designs Unlimited,88.0,11-50,Elizabethtown,PA,US,E-COMMERCE,"Designs Unlimited is a company that specializes in custom screen printing and embroidery for spirit wear, uniforms, and branded apparel. They offer a range of services including high-quality t-shirts,"
gic.graphics,GIC Graphic Wear,88.0,11-50,Anaheim,CA,US,BUSINESS_PRODUCTS_AND_SERVICES,"GIC Graphic Wear is a screen printing service that specializes in custom apparel for events. They offer on-location printing solutions, allowing clients to order shirts and accessories tailored to the"
easyapparel.co,Easy Apparel,88.0,11-50,Los Angeles,CA,US,BUSINESS_PRODUCTS_AND_SERVICES,"Easy Apparel is a custom apparel printing service that offers over 4000 styles from brands like Gildan and Nike. The platform simplifies the process of ordering by providing exclusive pricing, receivi"
merchn.com,Merchn,88.0,11-50,Chicago,IL,US,E-COMMERCE,"Merchn is a custom t-shirt printing service that offers a variety of apparel, including sweatshirts, tank tops, hats, and hoodies, all made in the United States. Customers can easily place orders onli"
mytshirtgrind.com,My T-shirt Grind,88.0,11-50,Savannah,GA,US,BUSINESS_PRODUCTS_AND_SERVICES,"The website offers custom DTF printing services for apparel and accessories, with no minimum order requirements or upfront pricing. Users can upload their design files in a simple three-step process t"
bolderoutfitters.com,Bolder Outfitters & Co.,88.0,11-50,Urbana,OH,US,FASHION_TEXTILE_AND_APPAREL,Bolder Outfitters & Co. is a custom screen printing and embroidery shop that specializes in creating high-quality apparel for brands. The service offers a streamlined ordering process without the usua
alphaironpress.com,Alpha Iron Press,88.0,11-50,,,US,E-COMMERCE,"Alpha Iron Press is a custom screen printing service that specializes in creating unique apparel for various brands and events. The main functionality includes providing high-quality, handcrafted prin"
merchconcepts.com,Merch Concepts,88.0,11-50,New Jersey,NJ,US,E-COMMERCE,"Merch Concepts is a custom apparel service that specializes in screen printing, embroidery, and direct-to-film printing. Customers can upload their designs online or choose from templates, select quan"
syracuseprintco.com,Syracuse Print Co.,87.0,11-50,New York,NY,US,E-COMMERCE,"S Syracuse Print Co., Inc. offers custom screen printing and embroidery services for a variety of apparel, including t-shirts, hoodies, and hats, tailored for different needs such as school events, fu"
selectscreenprints.com,"Select Screen Prints & Embroidery, Inc.",87.0,11-50,Bloomington,IL,US,RETAIL,"Select Screen Prints & Embroidery, Inc. offers custom apparel services including screen printing and sublimation for schools, teams, businesses, and organizations across Central Illinois and nationwid"
nbnsports.com,NBN Sports,87.0,11-50,San Jose,CA,US,BUSINESS_PRODUCTS_AND_SERVICES,"NBN Sports offers custom screen printing services and apparel for various sports teams, corporate clients, and events. Their main functionality includes creating personalized uniforms, t-shirts, hoodi"
brandedscreenprinting.com,Branded Screen Printing,87.0,11-50,Reno,NV,US,BUSINESS_PRODUCTS_AND_SERVICES,"Branded is a custom printing service that specializes in apparel, promotional products, and apparel for businesses, teams, and events. It offers a wide range of items including t-shirts, hoodies, polo"
yourbrandcompany.com,Your Brand Company,87.0,11-50,Delray Beach,FL,US,E-COMMERCE,"Your Brand Company is a retailer specializing in custom team and work apparel, including sportswear, accessories, and banners. They offer a wide range of products from over 60 top brands, allowing cus"
signatureprinthouse.com,Signature Printhouse,87.0,11-50,Newtown,CT,US,BUSINESS_PRODUCTS_AND_SERVICES,"Signature Printhouse is a custom screen printing service based in Newtown, CT, that specializes in creating personalized apparel and merchandise. The company handles all aspects of the printing proces"
aliveprintshop.com,Alive Print Shop,87.0,11-50,North Las Vegas,NV,US,BUSINESS_PRODUCTS_AND_SERVICES,"Alive Print Shop is a custom apparel and promotional products based in Las Vegas, specializing in bulk apparel for businesses, brands, and events. The service offers screen printing and embroidery for"
mtshastatees.com,MtShastaTees by Custom Designs,87.0,11-50,Mount Shasta,CA,US,BUSINESS_PRODUCTS_AND_SERVICES,"MtShastaTees by Custom Designs offers custom screen printing and embroidery services for a variety of apparel, including t-shirts, polos, sweatshirts, hats, jackets, and bags. The company specializes "
rtprintshop.com,Rogue Threads,87.0,11-50,White City,OR,US,FASHION_TEXTILE_AND_APPAREL,"Rogue Threads is a custom apparel printing service that specializes in high-quality clothing and accessories for businesses, events, and creators. They offer a range of services including direct to ga"
brokeninkprinting.com,Broken Ink Screen Printing,87.0,11-50,Stover,MO,US,BUSINESS_PRODUCTS_AND_SERVICES,Broken Ink Screen Printing is a local screen printing shop that specializes in custom apparel and promotional items. They collaborate with clients to understand their ideas and provide free design ass
shirtletics.com,Shirtletics,87.0,11-50,Usa,,US,E-COMMERCE,"Shirtletics is a platform that provides custom clothing and merchandise for fitness schools and companies. It allows users to submit their designs, which are then printed and processed through various"
exceltees.com,Excel Sportswear,87.0,11-50,Trafford,PA,US,E-COMMERCE,"Excel Sportswear is a company that specializes in custom screen printing and hand-drawn t-shirts, hoodies, hats, and other apparel. They offer a wide range of customizable designs, including school de"
crosscreationsandcustoms.com,Cross Creations & Customs,87.0,11-50,Atlanta,GA,US,BUSINESS_PRODUCTS_AND_SERVICES,Cross Creations & Customs is a custom apparel and branding service that specializes in creating tailored apparel for businesses and individuals. They offer a range of services including full-service g
teampacks.com,Teampacks.com,87.0,11-50,Hampstead,NC,US,E-COMMERCE,Teampacks.com is an online retailer specializing in sports apparel and custom printing services. The website offers a variety of products including team practice packs for different sports such as bas
fbbcgear.com,Fit Body Boot Camp,87.0,11-50,Tallahassee,FL,US,E-COMMERCE,"Fit Body Boot Camp HQ is a wholesale platform that allows gym owners and coaches to create their own online stores for fitness apparel, including leggings, shorts, and sweatshirts. The service offers "
