#,Domain,Name,Similarity,Primary Industry,All Industries,Location,Description
1,yourforeverfierce.com,Forever Fierce,100.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, E-COMMERCE","Highland Mills, NY","Forever Fierce is a service that specializes in custom gym apparel and screen printing. They collaborate with gym owners to create unique designs that reflect their brand and community, ensuring a cohesive look. The company offers a pre-order system that only sells what is already sold, allowing gym"
2,uniteegraphics.com,UNITEE,89.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, FASHION_TEXTILE_AND_APPAREL","Lafayette, LA","UNITEE is a custom apparel service that specializes in fast- turnaround times for various organizations, including gyms, dance schools, healthcare facilities, and bars. The main functionality includes providing tailored t-shirts with customizable designs based on the quantity of garments or printing"
3,wodmerch.com,UNITEE,89.0,E-COMMERCE,"E-COMMERCE, BUSINESS_PRODUCTS_AND_SERVICES","Lafayette, LA","UNITEE is a service that helps gyms and studios create custom fitness merchandise. It simplifies the process of designing, printing, and managing apparel for health-focused communities by streamlining processes for busy owners. Key features include personalized design mockups, quick order processing"
4,boldbrandsapparel.com,Bold Brands,88.0,E-COMMERCE,"E-COMMERCE, BUSINESS_PRODUCTS_AND_SERVICES","Fruitport, MI","Bold Brands is a custom apparel service that specializes in print-on-demand (POD) products. The process involves three simple steps: sending artwork, Approving mockups, and producing the final product within two weeks. Customers can place orders online, choose shipping options, or collaborate with t"
5,cfcoordinate.com,CrossFit Coordinate,88.0,SPORTS_AND_RECREATION,SPORTS_AND_RECREATION,"Cary, NC","CrossFit Coordinate is a fitness gym in Cary that offers personalized training, nutrition services, and specialized workout programs. Members can access 24/7 access for flexible workouts, one-on-one coaching tailored to individual goals, and a variety of classes ranging from CrossFit to yoga. The gy"
6,hdprintdesign.com,HD PRINT DESIGN,88.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, FASHION_TEXTILE_AND_APPAREL","Northridge, CA","HD Print Design is a company that specializes in custom apparel and screen printing. They offer services such as designing, producing, and shipping clothing for various industries including sports, education, and corporate branding. Customers can choose to submit their own designs or collaborate wit"
7,wovenapps.com,INK Design & Apparel,88.0,BUSINESS_PRODUCTS_AND_SERVICES,"BUSINESS_PRODUCTS_AND_SERVICES, FASHION_TEXTILE_AND_APPAREL","Iron Mountain, MI","Ink Design & Apparel is a company that specializes in custom apparel design, promotional items, and various printing services. They offer a range of products including screen prints, embroidery, vinyl printing, and promotional items. The team focuses on bringing clients' design and production needs "
8,graphicfx.com,Graphic FX,88.0,BUSINESS_PRODUCTS_AND_SERVICES,BUSINESS_PRODUCTS_AND_SERVICES,"Terre Haute, IN","Graphic FX is a company that specializes in custom screen printing and promotional products for various industries, including race directors, trade unions, fitness gyms, and educational institutions. Their main functionality includes creating vibrant and long-lasting shirts for events, team uniforms"
9,thecrossfitlifestyle.com,CrossFit Lifestyle,88.0,SPORTS_AND_RECREATION,SPORTS_AND_RECREATION,"Burlington, NC","CrossFit Lifestyle is a fitness gym located in Burlington, NC, offering personalized nutrition and fitness coaching for individuals of all fitness levels. The gym provides a variety of programs including CrossFit classes, personal training, Olympic lifting, and nutrition coaching, all designed to he"
10,apparelandgraphics.com,Apparel and Graphics,88.0,BUSINESS_PRODUCTS_AND_SERVICES,BUSINESS_PRODUCTS_AND_SERVICES,"Flora, IN","Apparel and Graphics is a company that provides custom branding solutions for businesses, offering a wide range of products including apparel, signage, promotional items, and business cards. Their main functionality includes designing and creating tailored branding strategies, managing projects from"
